,0
1483,just
1486,47%
1487,moment.
1490,terrible
1491,thing
1493,said
1496,many
1497,great
1498,americans!
1499,rt
1500,@barackobama:
1501,rt
1504,agree:
1506,need
1508,president
1511,fighting
1514,"americans,"
1516,one
1518,writes
1520,nearly
1521,half
1523,country.
1525,hillary
1526,said
1527,horrible
1528,things
1531,"supporters,"
1534,many
1537,supporters
1538,will
1539,never
1540,vote
1542,"me,"
1544,still
1545,respect
1547,all!
1548,really
1549,sad
1551,republicans
1553,allow
1557,used
1560,clinton
1561,ad.
1562,lindsey
1563,"graham,"
1564,"romney,"
1565,"flake,"
1566,sass.
1567,supreme
1568,"court,"
1569,remember!
1570,"wow,"
1571,hillary
1572,clinton
1575,insulting
1578,"supporters,"
1579,millions
1581,"amazing,"
1582,hard
1583,working
1584,people.
1586,think
1588,will
1589,cost
1593,polls!
1594,will
1597,missouri
1598,today
1600,melania
1603,funeral
1606,wonderful
1608,truly
1609,respected
1610,"woman,"
1611,phyllis
1612,s!
1613,"""@stvzbnk:"
1614,just
1615,watched
1616,@tonyschwartz.
1617,obviously
1618,tony
1621,total
1622,whack
1623,job
1624,"@realdonaldtrump"""
1625,just
1626,returned
1628,"pensacola,"
1629,"florida,"
1632,crowd
1634,incredible.
1636,havn't
1637,seen
1638,@tonyschwartz
1640,many
1641,"years,"
1643,hardly
1644,knows
1645,me.
1646,never
1647,liked
1649,style.
1650,super
1651,"lib,"
1652,crooked
1653,h
1654,supporter.
1655,irrelevant
1656,dope!
1657,dummy
1658,writer
1659,"@tonyschwartz,"
1661,wanted
1665,second
1666,book
1670,years
1671,(i
1672,said
1673,"no),"
1675,now
1677,hostile
1678,basket
1679,case
1681,feels
1682,jilted!
1683,thank
1685,florida
1686,-
1689,going
1691,make
1692,america
1693,great
1694,again!
1695,join
1696,us:
1697,https://t.co/3kwol2ibaw.
1698,"
#americafirst"
1699,https://t.co/vzktrxzvwv
1700,will
1702,delivering
1704,major
1705,speech
1706,tonight
1707,-
1708,live
1710,@oreillyfactor
1712,8:10pm
1714,"pensacola,"
1715,florida.
1716,thank
1718,ohio.
1719,"together,"
1721,will
1722,make
1723,america
1724,great
1725,"again!
https://t.co/3kwol20zmm"
1726,https://t.co/n026ne4xip
1727,great
1728,honor
1731,endorsed
1733,popular
1734,&amp;
1735,successful
1736,@gov_gilmore
1738,va.
1740,state
1744,much
1745,want
1747,win-thx
1748,jim!
1749,https://t.co/x4y1tafhvn
1750,make
1751,america
1752,great
1753,"again!
#americafirst"
1754,#imwithyou
1755,https://t.co/jilnw7myen
1756,henry
1757,"mcmaster,"
1758,lt.
1759,governor
1761,south
1762,carolina
1764,endorsed
1765,"me,"
1766,beat
1767,failed
1768,@cnn
1769,announcer
1770,bakari
1771,"sellers,"
1773,badly.
1774,funny!
1775,rt
1776,@erictrump:
1777,join
1778,@teamtrump
1780,saturday
1782,national
1783,day
1785,action
1788,work
1790,#makeamericagreatagain!
1791,https://t.co/hyclkzpobr
1792,https:/…
1793,jeff
1794,zucker
1795,failed
1796,@nbc
1800,now
1801,failing
1802,@cnn.
1803,.@cnn
1805,unwatchable.
1807,news
1811,fiction.
1812,"they
are"
1814,disgrace
1817,broadcasting
1818,industry
1821,arm
1824,clinton
1825,campaign.
1827,documentary
1831,@cnn
1832,just
1833,aired
1836,total
1837,waste
1839,time.
1842,even
1843,know
1844,many
1847,people
1849,spoke
1851,me.
1853,joke!
1854,final
1855,poll
1856,results
1858,nbc
1860,last
1861,nights
1862,commander-in-chief
1863,forum.
1864,thank
1865,you!
1866,#imwithyou
1867,#maga
1868,https://t.co/c5ipaxun7b
1871,matt
1872,lauer
1874,hurt
1875,hillary
1876,last
1877,night.
1882,dumb
1883,answer
1885,emails
1886,&amp;
1888,veteran
1890,said
1895,jail.
1897,poll
1898,results
1900,last
1901,nights
1902,commander-in-chief
1903,forum.
1904,"
#americafirst"
1905,#trumptrain
1906,https://t.co/fxybl6fo1h
1907,last
1908,nights
1909,results
1910,-
1912,poll
1913,taken
1915,nbc.
1916,#americafirst
1917,#imwithyou
1918,https://t.co/sconny1fl3
1920,"luis,"
1921,mexico
1924,united
1925,states
1928,made
1929,wonderful
1930,deals
1931,together
1932,-
1935,mexico
1938,us
1941,benefitted.
1942,mexico
1944,lost
1946,brilliant
1947,finance
1948,minister
1950,wonderful
1951,man
1954,know
1956,highly
1957,respected
1959,president
1960,peña
1961,nieto.
1962,hillary
1963,clinton
1964,answered
1965,email
1966,questions
1967,differently
1968,last
1969,night
1975,past.
1978,totally
1979,confused.
1980,unfit
1982,serve
1984,#potus.
1985,hillary
1986,just
1987,gave
1989,disastrous
1990,news
1991,conference
1994,tarmac
1996,make
1999,poor
2000,performance
2001,last
2002,night.
2005,decimated
2008,media!
2009,rt
2010,@danscavino:
2011,last
2012,nights
2013,winner
2015,clear
2016,&amp;
2018,will
2020,proven
2021,time
2022,&amp;
2023,time
2025,-
2026,lets
2027,#maga!!
2028,lets
2029,win!!
2030,#trumptrain
2031,https://t.co/sgqp9…
2032,"""a"
2033,rough
2034,night
2036,hillary
2037,"clinton"""
2038,
2039,abc
2040,news.
2041,"wow,"
2042,reviews
2045,-
2046,thank
2047,you!
2048,coming
2050,@genflynn
2051,@newtgingrich
2053,@foxandfriends
2054,thank
2057,@foxandfriends
2060,nice
2061,reviews
2063,last
2064,night.
2065,thank
2067,america
2068,-
2069,great
2070,#commanderinchiefforum
2071,polls!
2072,https://t.co/rcu6kargcb
2073,thank
2077,fantastic
2078,veterans.
2080,reviews
2082,polls
2084,almost
2085,everyone
2088,commander-in-chief
2089,presentation
2091,great.
2092,nice!
2093,thank
2095,peter
2096,-
2098,"elected,"
2100,will
2101,think
2102,big
2105,country
2106,&amp;
2107,never
2108,let
2110,american
2111,people
2112,down!
2113,#americafirst
2114,https://t.co/6nwu7emj9d
2115,wow
2116,-
2117,thank
2119,"pensacola,"
2120,fl.
2121,see
2123,friday
2125,7pm
2126,--
2127,join
2128,"me!
https://t.co/jco7za78tv"
2129,https://t.co/lympryy0hq
2130,#americafirst!
2131,https://t.co/fqgxwajxd7
2132,'donald
2133,trump
2134,leads
2135,hillary
2136,clinton
2138,19
2139,points
2140,among
2141,"military,"
2142,veteran
2143,voters:
2144,poll'
2145,#americafirst
2146,"#maga
https://t.co/5fmxgtlkwt"
2147,"""@adhd_fa:kudos"
2149,@parisdennard
2151,standing
2154,cnn's
2155,attempt
2157,bully
2160,shout
2164,defending
2165,@realdonaldtrump
2166,#media
2167,bias
2169,will
2171,interviewed
2173,@oreillyfactor
2174,tonight
2176,11pme
2177,@foxnews.
2178,enjoy!
2179,thank
2181,north
2182,carolina-
2183,get
2185,&amp;
2186,#votetrump
2188,"11/8/2016!
#makeamericagreatagain"
2189,https://t.co/hx2lrys4vq
2190,great
2191,meeting
2193,military
2194,spouses
2196,virginia-
2197,joined
2199,"@ivankatrump,"
2200,"@laraleatrump,"
2201,@genflynn
2202,&amp;
2203,@mayorrgiuliani.
2204,https://t.co/00gnh9nlet
2205,thank
2211,amazing
2212,military
2213,"families,"
